uid,Specialization,Grad Date,Organization,Organization Department,Unified Titles,Position Title,Position Type,City,State,Industry,Type of Organization,Employment Responsibilities,Most valueable SI skills,Coursework relevance,Most important skills for job,Internship while at SI,Internship Organization or Past Experience,Level of value from internship,Ideal Position,Salary,Background,Background Discipline
261,HCI,5/9/14,University of Michigan,Michigan Institute of Clinical and Health Research,Analyst,Business Analyst & Interaction Designer,Professional Permanent - Full Time,Ann Arbor,MI,Computer,"Computer: Software/Internet, Consulting, Consumer Products, Research, University/College","Business Analysis/Development, Website/Database/Information Systems Development, Usability","Project management, groupwork, usability and SI 682 and SI 622 strong communication",5 - Extremely Relevant,"Project management, groupwork, usability and SI 682 and SI 622, strong communication",Yes,ICPSR,Neutral,8,,Computer Science,Science & Math
936,ARM,4/9/14,"The Winthrop Group, Inc",Information and Archival Services,Archivist,Archivist,Professional Permanent - Full Time,Morton Grove,IL,Corporate,Corporate: consumer products,Archives/Conservation and Consulting,"The PEP credits and internships available through SI were definitely the most helpful, along with the array of ARM courses",5 - Extremely Relevant,"Networking, archival processing, multi-tasking, ability to work on group projects, etc",Yes,"The Coca Cola Company, Heritage Communications Department (Archives)",Extremely,8,,Mathematics,Science & Math
698,ARM,4/8/14,Duke University,,Archivist,Archivist,Did not answer,Durham,NC,Library,Library: Academic,,"Cataloging, EAD, web archiving, appraisal and electronic records management",3 - Neutral,,Yes,Gerald R. Ford Presidential Library 2006-2008 and the Fort Hare trip with David Wallace in Summer 2007,Extremely,,"$31,750 ",IMS,Science & Math
427,ARM/IPOL,4/9/14,Steelcase,,Archivist,"Archivist, Assistant ",Professional Permanent - Full Time,Grand Rapids,MI,Manufacturing,Manufacturing,,,,,,,,,,Computer Science,Science & Math
643,ARM,4/8/14,National Archives and Records Administration,,Archivist,Archives Technician,Professional Permanent - Full Time,College Park,MD,Museum,Museum/Historical Society,,Did not answer,3 - Neutral,,Yes,I took the archives practicum and interned at the Bentley Historical Library.  I took part in ASB projects at the National Museum of the American Indian Cultural Resource Center and at the National Archives and Records Administration's Office of Presidential Libraries,Neutral,,"$33,269 ",IMS,Science & Math
295,Tailored,5/6/14,Internet Archive,,Archivist,Collections Manager,Professional Permanent - Full Time,San Francisco,CA,Government,Government/Public/NGO,,degree and courses,5 - Extremely Relevant,that user advocacy is the whole point!,,,,8,,Computer Science,Science & Math
1091,LIS,4/8/14,ProQuest,,Archivist,Content Acquisitions Specialist,Professional Permanent - Full Time,Ann Arbor,MI,Media,Multimedia/Publishing,"Use tracking tools and internal databases to monitor currency and completeness of assigned journal titles, communicate within the organization and with outside publishers to acquire content, and monitoring/maintaining internal databases","SI iTrack, on-campus interviewing (through SI), internet sites, contacts (professional and/or personal) and other journals/newspapers",2 - Not Very Relevant,,Yes,,,,"$34,000 ",IMS,Science & Math
416,ARM,5/9/14,University of Michigan,University Libraries - William L. Clements Library,Archivist,"Curator of Books, Assistant ",Professional Permanent - Full Time,Ann Arbor,MI,Library,Library: Academic,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration) and Archives/Conservation ","Internships, SI 666 and external cognate AMCULT 498",5 - Extremely Relevant,"Cataloging, reference, presentations, project management, research and writing",Yes,UM Special Collections,Extremely,10,,Computer Science,Science & Math
271,IEM,12/6/14,The Gallup Organization,,Consultant,Consulting Specialist,Professional Permanent - Full Time,Chicago,IL,Corporate,Corporate: consulting,,cognates in economics classes,3 - Neutral,,,,,,,Computer Science,Science & Math
958,HCI,4/9/14,University of Michigan,Sakai (cTools) Project,Consultant,Support Consultant & QA Tester,Professional Permanent - Full Time,Ann Arbor,MI,University,University/College,,,,,,,,,,Mathematics,Science & Math
